Station_ID,Station_Name,City,Date,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³)
AHM01,Chandkheda,Ahmedabad,31-08-2023,49.48,83.67,3,5.89,0,NaN
AHM01,Chandkheda,Ahmedabad,01-09-2023,48.84,82.1,3,5.82,0,NaN
AHM01,Chandkheda,Ahmedabad,02-09-2023,49.85,83.93,3,5.6,0,NaN
AHM01,Chandkheda,Ahmedabad,03-09-2023,56.24,93.66,3,6.49,0,NaN
AHM01,Chandkheda,Ahmedabad,04-09-2023,51.88,85.56,3.01,5.91,0,8.74
AHM01,Chandkheda,Ahmedabad,05-09-2023,41.94,69.59,3,6.78,0,8.22
AHM01,Chandkheda,Ahmedabad,06-09-2023,42.26,75.89,3,5.71,0,9.11
AHM01,Chandkheda,Ahmedabad,07-09-2023,20.52,40.72,3,4.84,NaN,8.33
AHM01,Chandkheda,Ahmedabad,08-09-2023,18.77,40.45,3,5.26,NaN,8.42
AHM01,Chandkheda,Ahmedabad,09-09-2023,20.57,36.68,2.99,4.99,NaN,8.43
AHM01,Chandkheda,Ahmedabad,10-09-2023,25.61,45.12,3,6.4,NaN,8.28
AHM01,Chandkheda,Ahmedabad,11-09-2023,28.01,48.64,2.99,6.04,NaN,8.2
AHM01,Chandkheda,Ahmedabad,12-09-2023,27.05,47.06,3,5.9,NaN,8.28
AHM01,Chandkheda,Ahmedabad,13-09-2023,26.57,45.39,2.99,5.82,NaN,8.06
AHM01,Chandkheda,Ahmedabad,14-09-2023,30.44,52.64,2.99,6.73,NaN,7.9
AHM01,Chandkheda,Ahmedabad,15-09-2023,32.4,56.95,3,6.92,NaN,NaN
AHM01,Chandkheda,Ahmedabad,16-09-2023,30.26,53.75,3,6.56,NaN,NaN
AHM01,Chandkheda,Ahmedabad,17-09-2023,12.39,22.74,3,4.69,NaN,NaN
AHM01,Chandkheda,Ahmedabad,18-09-2023,6.72,12.99,3,4.27,NaN,NaN
AHM01,Chandkheda,Ahmedabad,19-09-2023,10.14,18.98,3,4.44,NaN,NaN
AHM01,Chandkheda,Ahmedabad,20-09-2023,18.08,33.36,3,7.28,NaN,NaN
AHM01,Chandkheda,Ahmedabad,21-09-2023,28.1,51.32,3,8.59,NaN,NaN
AHM01,Chandkheda,Ahmedabad,22-09-2023,24.29,44.4,2.99,5.54,NaN,NaN
AHM01,Chandkheda,Ahmedabad,23-09-2023,31.25,55.46,3,5.68,NaN,NaN
AHM01,Chandkheda,Ahmedabad,24-09-2023,24.42,43.61,3,5.5,NaN,NaN
AHM01,Chandkheda,Ahmedabad,25-09-2023,39.47,68.23,3,5.83,NaN,NaN
